manifest,canvas,curation
https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/c1ea8e6b-9403-4394-8619-96aad0ec6329/manifest,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/c1ea8e6b-9403-4394-8619-96aad0ec6329/canvas/p11,https://mp.ex.nii.ac.jp/api/kuronet/curation/64a94c4cc2a4f40c180323ce12b6e0a058a8c66d
https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/c1ea8e6b-9403-4394-8619-96aad0ec6329/manifest,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/c1ea8e6b-9403-4394-8619-96aad0ec6329/canvas/p10,https://mp.ex.nii.ac.jp/api/kuronet/curation/7a9192a4b0e98543fee5b93d3ad99e884ecceb7b
https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/c1ea8e6b-9403-4394-8619-96aad0ec6329/manifest,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/c1ea8e6b-9403-4394-8619-96aad0ec6329/canvas/p10,https://mp.ex.nii.ac.jp/api/kuronet/curation/83805864bf6fb9202a2d70a530705c197d135cec
https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/c1ea8e6b-9403-4394-8619-96aad0ec6329/manifest,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/c1ea8e6b-9403-4394-8619-96aad0ec6329/canvas/p9,https://mp.ex.nii.ac.jp/api/kuronet/curation/8d58665c925b3876d000273006156a26bda62288
https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/c1ea8e6b-9403-4394-8619-96aad0ec6329/manifest,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/c1ea8e6b-9403-4394-8619-96aad0ec6329/canvas/p9,https://mp.ex.nii.ac.jp/api/kuronet/curation/b300b8954a41943290d1b6af2506f75d7e54d396
https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/c1ea8e6b-9403-4394-8619-96aad0ec6329/manifest,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/c1ea8e6b-9403-4394-8619-96aad0ec6329/canvas/p8,https://mp.ex.nii.ac.jp/api/kuronet/curation/7fdb785fa240c56a0270f0fa86d839bb946c76af
https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/c1ea8e6b-9403-4394-8619-96aad0ec6329/manifest,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/c1ea8e6b-9403-4394-8619-96aad0ec6329/canvas/p8,https://mp.ex.nii.ac.jp/api/kuronet/curation/90e37e646b373d1ecc72d5735cc53f23ce190c1d
https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/c1ea8e6b-9403-4394-8619-96aad0ec6329/manifest,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/c1ea8e6b-9403-4394-8619-96aad0ec6329/canvas/p7,https://mp.ex.nii.ac.jp/api/kuronet/curation/0bdd6f4e6b6e0b24e0fd62e1134def885edea7e5
https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/c1ea8e6b-9403-4394-8619-96aad0ec6329/manifest,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/c1ea8e6b-9403-4394-8619-96aad0ec6329/canvas/p7,https://mp.ex.nii.ac.jp/api/kuronet/curation/f92c70b37f2604a68d644b347d240fc985454290
https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/c1ea8e6b-9403-4394-8619-96aad0ec6329/manifest,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/c1ea8e6b-9403-4394-8619-96aad0ec6329/canvas/p6,https://mp.ex.nii.ac.jp/api/kuronet/curation/a94616799fee7614f3a1efab3595a45ab447246d
https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/c1ea8e6b-9403-4394-8619-96aad0ec6329/manifest,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/c1ea8e6b-9403-4394-8619-96aad0ec6329/canvas/p6,https://mp.ex.nii.ac.jp/api/kuronet/curation/754caef4627a955ec5b818a4f6c239bc74485f34
https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/c1ea8e6b-9403-4394-8619-96aad0ec6329/manifest,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/c1ea8e6b-9403-4394-8619-96aad0ec6329/canvas/p6,https://mp.ex.nii.ac.jp/api/kuronet/curation/42a214359b68a8316c89da4106633a09b8efe0c9
https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/c1ea8e6b-9403-4394-8619-96aad0ec6329/manifest,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/c1ea8e6b-9403-4394-8619-96aad0ec6329/canvas/p5,https://mp.ex.nii.ac.jp/api/kuronet/curation/3f8c2218ae5172c056b1eb26af1474c7033bf4e2
https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/c1ea8e6b-9403-4394-8619-96aad0ec6329/manifest,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/c1ea8e6b-9403-4394-8619-96aad0ec6329/canvas/p5,https://mp.ex.nii.ac.jp/api/kuronet/curation/59adfc0cf57b01cdd4660a66cf28131078e2f14c
https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/c1ea8e6b-9403-4394-8619-96aad0ec6329/manifest,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/c1ea8e6b-9403-4394-8619-96aad0ec6329/canvas/p4,https://mp.ex.nii.ac.jp/api/kuronet/curation/0845d00d69152e861bb0f3e9cfc17a113d5a242e
https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/c1ea8e6b-9403-4394-8619-96aad0ec6329/manifest,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/c1ea8e6b-9403-4394-8619-96aad0ec6329/canvas/p31,https://mp.ex.nii.ac.jp/api/kuronet/curation/fb60af58ce5f28e27d281b566f9c4f48e03521cb
https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/c1ea8e6b-9403-4394-8619-96aad0ec6329/manifest,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/c1ea8e6b-9403-4394-8619-96aad0ec6329/canvas/p30,https://mp.ex.nii.ac.jp/api/kuronet/curation/9064ce99b500f13e44ae5d0b76c44f6ae1f0ba87
